sentiments,cleaned_review,cleaned_review_length,review_score,GPT_Sentiment,GPT_Explanation,GPT_Score,GPT_Category,GPT_Score_Num
neutral,i liked this mouse for comfort and look the roller ball literally fell into the mouse rendering the entire mouse useless months after purchased it disappointing ,26,5,Negative,The feedback starts positively about comfort and look but turns negative due to a critical functionality issue with the roller ball.,2,Product quality: Durability,2
neutral,you can hardly maneuver the clicker with this mouse it doesn do its main function the led is ok guess but what the point of mouse that doesn do it job guess have new flashlight give stars if could don waste your time or money on this ,47,1,Negative,"The feedback expresses dissatisfaction with the mouse's functionality, indicating it fails to perform its primary task.",1,Product quality: Functionality Gaps,1
neutral,don waste your time with this mouse got this mouse for my work because the wireless mouse that had was loaned to me straight from the box it didn even work it will light up red whenever turn it on it won connect to my mac at all even with the port installed it wouldn work at all switched it off and on replugged in the port nothing would work what waste of money ,74,5,Negative,"The customer is frustrated because the mouse did not work at all, even after trying multiple troubleshooting steps.",1,Product quality: Functionality Gaps,1
neutral,a faster delivery and an excelent product ,7,5,Positive,The feedback praises the delivery speed and the quality of the product.,5,Delivery issues,5
positive,bought it as gift and it was well received ,9,5,Positive,"The feedback indicates that the gift was appreciated, suggesting satisfaction.",5,Other,5
neutral,for gaming,2,5,Neutral,The feedback is too vague to determine a specific sentiment.,3,Other,3
positive,just bought this mouse and was really excited to use it but even after charging for multiple hours the mouse will turn on briefly and then immediately stop functioning just goes to show that items this cheap often are too good to be true save your money and buy better mouse ,51,1,Negative,The feedback expresses disappointment with the mouse's functionality and suggests it is not worth the purchase.,1,Product quality: Battery Issues,1
positive,they show in pics like they are lit not with nintendo switch has separate port to plug in which required me to add cord with adapter super annoying would not have purchased ,32,5,Negative,The customer is frustrated with the misleading product images and the inconvenience of needing additional accessories.,2,Product quality: Functionality Gaps,2
positive,i just got new all in computer amd needed new mouse to bring some life to my conpletely white computer love the different colors it lights up also love the feel of the mouse and the size is perfect would recommend this mouse it affordable ,45,1,Positive,"The feedback expresses satisfaction with the mouse's appearance, feel, size, and affordability.",5,Product quality: Build/Design Flaws,5
positive,comfortable headset and solid upgrade from my previous ,8,5,Positive,The feedback expresses satisfaction with the comfort and improvement over a previous product.,5,Product quality: Build/Design Flaws,5
negative,the mouse never turned on complete waste of money not happy,11,1,Negative,The feedback expresses dissatisfaction due to the mouse not functioning at all.,1,Product quality: Functionality Gaps,1
positive,im so inlove with this one not too small and not too big just perfect and the sound is so loud my kids loves the color ,26,3,Positive,"The feedback expresses satisfaction with the product's size, sound quality, and color, indicating a positive experience.",5,Product quality: Functionality Gaps,5
positive,no batteries needed this works great and it lites up too easy to charge and use no problems at all ,20,5,Positive,"The feedback highlights satisfaction with the product's functionality, ease of use, and charging capability.",5,Product quality: Functionality Gaps,5
positive, the mouse is low profiled easy to use it connects instantly and is ready to use as soon as you plug the adapter into your computer it is very comfortable to use and the video shows it extra cool light show ,41,5,Positive,"The feedback highlights the ease of use, instant connectivity, comfort, and appealing design of the mouse.",5,Product quality: Functionality Gaps,5
positive,this is great keyboard the keys are quiet and don travel far when pressed down it lights up well enough to be seen clearly in the dark and despite being make out of plastic instead of aluminum it seems fairly sturdy that said this is not the keyboard for me an old school computer programmer and am on my keyboard all day long prefer loud clicky keyboard reminiscent of the old ibm pc keyboard this keyboard is nothing like that it extremely quiet and the keys don travel far when pressed was looking for borderline typewriter feel this keyboard is more for gaming and such again this is great keyboard and clearly matches its marketing it was just not the keyboard was looking for ,124,1,Neutral,The feedback acknowledges the keyboard's quality and suitability for its intended purpose but indicates it does not meet the user's personal preference for a different type of keyboard.,3,Product quality: Functionality Gaps,3
positive,i have been struggling to find gaming headset that had both good sound quality and working microphone this headset ticks both boxes wish bought this one first also really like that they provide the adapter ,35,5,Positive,"The feedback expresses satisfaction with the sound quality and microphone of the headset, and appreciation for the included adapter.",5,Product quality: Functionality Gaps,5
positive,my kiddo needed wireless mouse to take with him to school and this was so fun for him it light weight pretty durable and love that he can charge it along with his laptop at night ,36,5,Positive,"The feedback highlights satisfaction with the product's lightweight, durability, and charging convenience.",5,Product quality: Durability,5
negative,not great item for long term use could be more sturdy ,11,5,Negative,The feedback indicates dissatisfaction with the item's durability and sturdiness.,2,Product quality: Durability,2
neutral,none of the buttons worked once connected and got help from tech at jbl website who said to return it as defective,22,5,Negative,"The feedback indicates a malfunctioning product that required returning, which is a negative experience.",1,Product quality: Functionality Gaps,1
neutral,you can hear buzzing noise when plugged in and people can hear you all they hear is echo when you try to talk this mike is over all trash,29,5,Negative,"The feedback describes significant issues with the microphone's performance, including a buzzing noise and echo, leading to a poor overall impression.",1,Product quality: Performance Issues,1
positive,great quality waterproof and very durable ,6,1,Positive,"The feedback praises the product's quality, waterproof feature, and durability.",5,Product quality: Durability,5
positive,great product for the price my daughter loves it it is so quiet when you re clicking the buttons that you can hear it at all so have decided to purchase myself one as well ,35,2,Positive,"The feedback expresses satisfaction with the product's price and functionality, indicating a positive experience.",5,Product quality: Functionality Gaps,5
negative,this is the most inconsistent keyboard ever it worked fine for the first months but now it only seems to work when it wants to that terrible for gaming you ll be in game and out of nowhere your character is taking damage and you re like what the hell ive had this for about months and its already failing on me can recommend this ,65,5,Negative,"The feedback describes a keyboard with inconsistent performance, which is particularly problematic for gaming.",1,Product quality: Performance Issues,1
neutral,didn work for my ps total waste of money going with turtle beach headsets for my next gaming headset purchase ,20,5,Negative,The customer expresses dissatisfaction with the product not working and considers it a waste of money.,1,Product quality: Functionality Gaps,1
neutral,not the best quality ve seen but for the price it ranks pretty high ,14,5,Neutral,The feedback acknowledges that the quality is not the best but considers it good for the price.,3,Pricing,3
neutral,i bought this mouse for home use used it about two hours per day for two weeks then no connection thought it needed to be charged plugged it in and allowed to sit for two hours as instructed now there is nothing tried to charge longer but nothing is working do not buy this pos ,55,1,Negative,The customer is frustrated with the mouse not working after a short period of use and charging attempts failing.,1,Product quality: Performance Issues,1
neutral,good head set,3,5,Positive,The feedback expresses satisfaction with the headset.,4,Product quality: Performance Issues,4
positive,really like the quietness of the clicks flatter than most mice took little bit of getting used to but fine now will be easy to travel with very responsive charges by usb and lasts for several days no need to have extra batteries led lights are fun but hard to see in bright light looking at the screen when using the mouse who doesn so don really see the lights that much ,72,1,Positive,"The feedback highlights several positive aspects of the mouse, such as its quiet clicks, responsiveness, and USB charging, with only minor issues regarding the LED lights.",4,Product quality: Functionality Gaps,4
positive,great speaker lasts about hours on full volume,8,3,Positive,"The feedback appreciates the speaker's performance, indicating satisfaction with its battery life at full volume.",4,Product quality: Battery Issues,4
neutral,it good,2,5,Positive,"The feedback expresses a positive sentiment with the word ""good.""",4,Other,4
neutral,it not the worst and it certainly not the best but overall think that it was bit too expensive for its quality it it supper uncomfortable the mic is supper quiet and there is no way to turn it up overall highly recommend getting turtle beach headset ,47,5,Negative,"The feedback indicates dissatisfaction with the product's quality and comfort, and mentions it is overpriced.",2,Product quality: Functionality Gaps,2
neutral,excelente,1,1,Positive,"The feedback uses the word ""excelente,"" indicating a high level of satisfaction.",5,Other,5
neutral,nd one bought,3,2,Neutral,The feedback is too vague to determine a clear sentiment.,3,Other,3
positive,love it,2,5,Positive,The feedback expresses strong approval and satisfaction.,5,Other,5
neutral,this mouse feels good in the hand looks cute as all get out but did not last month after charging only once have had issues with it being sluggish and not holding charge ,33,1,Negative,"The feedback highlights issues with the mouse's battery life and performance, despite its appealing design.",2,Product quality: Battery Issues,2
negative,while these headphones offer great value would recommend them to anyone but gamers this is annoying while gaming because they are very loose and gets you distracted even after putting it on tight most setting it undoes the setting have rather average sized head ,44,2,Negative,"The feedback highlights a specific issue with the headphones being loose and distracting during gaming, which is a negative aspect for the user.",2,Product quality: Build/Design Flaws,2
positive,i love the feel and look of it,8,1,Positive,The feedback expresses satisfaction with the product's feel and appearance.,5,Product quality: Build/Design Flaws,5
neutral,its trash sounds quality is trash microphone is trash save your money,12,5,Negative,"The feedback expresses strong dissatisfaction with the sound quality and microphone, suggesting the product is not worth purchasing.",1,Product quality: Performance Issues,1
positive,this klim chroma rechargeable wireless gaming keyboard slim durable ergonomic quiet waterproof silent keys backlit wireless keyboard for pc ps xbox one mac teclado gamer new version is quality keyboard love the back lights on it very easy to type on and works perfectly like it very much and am pleased with this purchase,54,4,Positive,"The feedback expresses satisfaction with the keyboard's quality, features, and performance.",5,Product quality: Functionality Gaps,5
positive,great price great product,4,5,Positive,The feedback expresses satisfaction with both the price and the product.,5,Pricing,5
neutral,bought this for work and three hours after turning it on the mouse wheel broke and became unusable ,18,2,Negative,"The feedback describes a product malfunction shortly after use, indicating dissatisfaction.",1,Product quality: Durability,1
neutral,satisfied,1,4,Positive,The feedback indicates contentment with the product or service.,4,Other,4
negative,i purchased this for my mom and once the battery went dead it would not recharge ,16,2,Negative,"The feedback indicates a problem with the product's battery not recharging, which is a negative experience.",1,Product quality: Battery Issues,1
negative,dead in weeks,3,1,Negative,The feedback indicates that the product stopped working shortly after purchase.,1,Product quality: Durability,1
positive,it advertise change of color of the light mine is only red the buttons have to hit it very had to the point that started to click on the board because my finger hurt very pretty very sleek so far works very good ,43,5,Negative,"The feedback highlights issues with the product's advertised functionality and button responsiveness, despite some positive comments on appearance and performance.",2,Product quality: Functionality Gaps,2
neutral,stopped working after few months and haven used it that often for it to not work,16,5,Negative,The feedback indicates dissatisfaction due to the product ceasing to function after a short period of use.,1,Product quality: Durability,1
neutral,performs as advertised and is easy to plug in and use ,11,5,Positive,The feedback indicates satisfaction with the product's performance and ease of use.,5,Product quality: Functionality Gaps,5
neutral,exelente,1,2,Positive,"The feedback uses a misspelled version of ""excellent,"" indicating a very positive sentiment.",5,Other,5
positive,really disappointed wanted to love this product but the usb adapter that came with it doesn fit into my usb port it looks like it only goes half way in so basically the product is useless the mouse itself was pretty and easy to manipulate wish the adapter worked,49,5,Negative,"The feedback expresses disappointment due to a non-functional USB adapter, rendering the product useless.",2,Product quality: Functionality Gaps,2
neutral,no dislikes,2,5,Positive,The feedback indicates satisfaction as there are no dislikes mentioned.,5,Other,5
positive,excellent for gaming incredible noise cancellation and great sound quality feels like actually in the game ,16,5,Positive,"The feedback praises the product's gaming performance, noise cancellation, and sound quality.",5,Product quality: Performance Issues,5
positive,i liked this headset originally very comfortable the sound was good everyone could hear and understand me then the audio got really choppy not great long term investment if you want to use the mic ,35,5,Negative,"The feedback starts positively but ends with a complaint about the audio becoming choppy, indicating dissatisfaction with the product's long-term performance.",2,Product quality: Performance Issues,2
negative,it won charge at all two weeks after bought it and it already useless the blue light turns off like it charged but it totally dead tried different cables and it just doesn work,34,5,Negative,The feedback describes a product that fails to charge and is considered useless shortly after purchase.,1,Product quality: Battery Issues,1
negative,got this product june it is august th and it no longer functions even when fully charged lasts less than days it beautiful but will end up being waste of money ,31,3,Negative,The feedback indicates dissatisfaction due to the product no longer functioning properly and not holding a charge.,1,Product quality: Battery Issues,1
positive,got this mouse for my desktop setup which mainly use for office purposes and it has been working great it replaced cheaper version than this one that got at below of which did not expect much but got me going for years don think would recommend for gaming since is little on the small side and somewhat flat but who knows is it very responsive thought and looks nice with the changing colors ,73,5,Positive,"The feedback highlights satisfaction with the mouse's performance for office use and its aesthetic appeal, despite noting it may not be ideal for gaming.",4,Product quality: Functionality Gaps,4
neutral,waste of money never charged and never worked waited to late to return so it ll go in the trash ,20,5,Negative,The feedback expresses dissatisfaction with a product that never worked and could not be returned.,1,Product quality: Functionality Gaps,1
positive,great product and the seller is highly recommended,8,5,Positive,The feedback expresses satisfaction with the product and recommends the seller.,5,Service,5
positive,i loved this mouse until it stopped working after about month of use it is plugged in and charging but is not responding to movement after about ten minutes ve tried multiple ports and turning it on and off but the thing won respond it illuminating in just blue which it never done before don buy it,57,1,Negative,"The user initially liked the mouse but is frustrated because it stopped working after a short period, and attempts to fix it have failed.",1,Product quality: Performance Issues,1
positive,exactly what wanted and expected love the colors ,8,2,Positive,The feedback expresses satisfaction with the product and appreciation for its colors.,5,Product quality: Build/Design Flaws,5
positive,they keyboard works fine able to maintain connection and battery life is fine the spring or what ever is supporting the space bar can be improved feels very weak and need to make sure space bar is pressed in certain area for it to register command this is fine for web browsing or working on word documents however this can be burdensome when playing games,65,5,Neutral,"The feedback mentions both positive aspects (connection and battery life) and a negative aspect (space bar issue), leading to a mixed sentiment.",3,Product quality: Build/Design Flaws,3
negative,worked fine out of the box until it needed recharging and now won charge it has blue light on it so know it getting power but as soon as disconnect the cord it dead worthless ,35,5,Negative,"The feedback describes a product that fails to function properly after recharging, indicating a significant issue.",1,Product quality: Battery Issues,1
neutral,superd ,1,5,Positive,"The feedback uses a misspelled version of ""superb,"" indicating a very positive sentiment.",5,Other,5
positive,love it ,2,5,Positive,The feedback expresses strong approval and satisfaction.,5,Other,5
positive,great gaming headset for my year old son great sound quality easy to install and easy to use ,18,3,Positive,"The feedback praises the gaming headset for its sound quality, ease of installation, and ease of use.",5,Product quality: Functionality Gaps,5
positive,great bass at low volume way louder than my ue boom good buy ,13,5,Positive,The feedback expresses satisfaction with the product's bass performance and volume compared to another product.,5,Product quality: Performance Issues,5
positive,i was initially in love with this mouse however soon after while scrolling the mouse stopped scrolling you don realize how something so small you really see crucial everything works for the scroll to just stop literally want to throw the whole mouse out and probably will decided to hold on to it cause it just so cute and matches my laptop however soon after the sensor and clicker stopped working as well now forced to get new mouse ,79,2,Negative,"The feedback describes multiple functionality failures of the mouse, leading to frustration and the need to replace it.",1,Product quality: Functionality Gaps,1
positive,quite cute and very portable,5,1,Positive,The feedback expresses satisfaction with the product's appearance and portability.,5,Product quality: Build/Design Flaws,5
neutral,loudness good,2,5,Positive,"The feedback indicates satisfaction with the loudness, suggesting it meets expectations.",5,Product quality: Performance Issues,5
neutral,using this every friday for background music at community event good sound quality ,13,5,Positive,The feedback highlights satisfaction with the sound quality of the product.,5,Product quality: Performance Issues,5
positive,grandson loves it it is awesome love the colors not to bright ,12,5,Positive,"The feedback expresses satisfaction and enthusiasm about the product, particularly appreciating the colors.",5,Product quality: Build/Design Flaws,5
neutral,first one died within week and half bit the company was great about getting me quick replacement,17,5,Neutral,The feedback mentions a negative experience with the product initially but highlights a positive experience with the company's response.,3,Product quality: Durability,3
positive,i bought this speaker for our pool in our park its just enough to carry great sound for everyone to enjoy,21,4,Positive,The feedback expresses satisfaction with the speaker's sound quality and its ability to meet the user's needs.,5,Product quality: Performance Issues,5
neutral,work,1,5,Neutral,The feedback is too vague to determine a specific sentiment.,3,Other,3
neutral,not sure why this died after couple months of use but it is no longer working bummer because it was super cute and added to my office aesthetic ,28,3,Negative,"The feedback expresses disappointment due to the product no longer working after a short period, despite its aesthetic appeal.",2,Product quality: Durability,2
positive,this mouse is amazing it is ergonomic cheap and functional defenitly great choice for business for games don have an opinion cause don play computer games ,26,2,Positive,"The feedback praises the mouse for being ergonomic, affordable, and functional, indicating satisfaction with its use for business purposes.",5,Product quality: Functionality Gaps,5
positive,i bought this headset for my boyfriend birthday last month and he loves it for the price this is an outstanding product it high end quality in my opinion and hasn given any issues at all ,36,5,Positive,"The feedback expresses satisfaction with the product's quality and value for money, indicating no issues have been encountered.",5,Product quality: Performance Issues,5
positive,awesome got pair of these for my brothers birthday and he really liked them,14,5,Positive,The feedback expresses satisfaction with the purchase as it was well-received as a gift.,5,Other,5
neutral,type adaptor does not go in the computer port properly so it doesn work ,14,5,Negative,"The feedback indicates a problem with the adaptor not fitting properly, leading to it not working.",2,Product quality: Functionality Gaps,2
neutral,stop working after few days do not buy this mouse ,10,5,Negative,The feedback indicates dissatisfaction as the product stopped working shortly after purchase.,1,Product quality: Durability,1
neutral,these were really nice in the beginning don use my headset often for personal reasons somehow this magically has short in it the sound was never that great and always static like anyway ,33,2,Negative,The feedback indicates dissatisfaction with the headset due to sound quality issues and a defect that developed over time.,2,Product quality: Performance Issues,2
positive,great they have crisp and clear sound but for stereo sound you should have two ,15,5,Positive,"The feedback appreciates the sound quality, though it notes a requirement for stereo sound.",4,Product quality: Functionality Gaps,4
neutral,sounds break up it not loud says xbox one compatible but it not cheap quality ,15,1,Negative,"The feedback indicates dissatisfaction with the sound quality and compatibility issues, describing the product as cheap quality.",1,Product quality: Performance Issues,1
neutral,it broke after weeks ,4,3,Negative,The feedback indicates dissatisfaction due to the product breaking shortly after purchase.,1,Product quality: Durability,1
negative,this mouse was terrible it worked very inconsistently and have already replaced it with one that actually works it was very disappointing ,22,5,Negative,"The feedback describes the mouse as terrible and inconsistent, leading to disappointment and replacement.",1,Product quality: Performance Issues,1
positive,it perfect and fast shipping,5,4,Positive,The feedback expresses satisfaction with the product and the speed of shipping.,5,Shipment delays,5
neutral,scroll wheel on off switch broke without much use it was good while it lasted but nothing too special mainly liked the shape,23,2,Negative,"The feedback indicates a broken component, suggesting dissatisfaction with the product's durability.",2,Product quality: Durability,2
negative,mouse completely died and wouldn charge in less than month no return policy,13,4,Negative,The feedback indicates dissatisfaction due to the mouse not charging and the lack of a return policy.,1,Product quality: Battery Issues,1
positive,recently purchased this mouse the look of the lights is cool not fan of the sleep mode but did love the smooth feel of movement and the track wheel was perfect however after day and half went to charge it and it never came back on thought it needed to charge longer but no just stopped working ,57,5,Negative,"The feedback highlights a major issue with the mouse not working after a short period, despite initial positive comments on its design and functionality.",2,Product quality: Performance Issues,2
neutral,not loud enough,3,5,Negative,The feedback indicates dissatisfaction with the volume level of a product.,2,Product quality: Performance Issues,2
positive,this mouse is so cute the chip is little challenging to get out but works amazing and the colors are adorable,21,1,Positive,"The feedback highlights the product's appealing design and good performance, despite a minor challenge with the chip.",4,Product quality: Build/Design Flaws,4
positive,got this as gift is the best gaming headset ve used in while,13,5,Positive,The feedback expresses satisfaction and high praise for the gaming headset.,5,Other,5
positive, so far so good does what it supposed to do worked right out of the box like that don have to buy batteries for it it charges quickly lasts looking time and is compatible with my hp chromebook it has two settings solid red color only when mouse is moving and slow changing rainbow when mouse is moving and or at rest the usb tucks away into the bottom of the mouse which is where you ll find it when you open the box for the first time also comes with an adapter and short charging cable ,97,5,Positive,"The feedback highlights satisfaction with the product's functionality, ease of use, and additional features.",5,Product quality: Functionality Gaps,5
positive,loved the change of lights and the fell under my hand great mouse ,13,1,Positive,The feedback expresses satisfaction with the mouse's lighting and how it feels in hand.,5,Product quality: Build/Design Flaws,5
neutral,have used this mouse for more than month now the cursor jumps around unreliably on the screen making it difficult to navigate battery life is not very long before needs recharging feels very cheaply made in hand do not recommend ,40,4,Negative,"The feedback highlights issues with cursor reliability, battery life, and build quality, leading to a negative recommendation.",1,Product quality: Performance Issues,1
positive,very nice bought love it ,5,3,Positive,The feedback expresses satisfaction and enjoyment with the purchase.,5,Other,5
positive,this product fits like dream compared to the razer kraken line of headsets the mic isn as adjustable but prefer fixed mic as it won wear as badly and the mic quality seems comparable if not superior the cord is high quality as is the included adapter for being stock part they look just as cool as the photos aesthetically as well ,62,4,Positive,"The feedback praises the product's fit, mic quality, cord quality, and aesthetics, indicating satisfaction.",5,Product quality: Build/Design Flaws,5
neutral,could not get it to work ,6,5,Negative,The feedback indicates a problem with the product's functionality.,1,Product quality: Functionality Gaps,1
positive,won hold charge,3,1,Negative,The feedback indicates a problem with the product's ability to hold a charge.,1,Product quality: Battery Issues,1
positive,i wanted simple headset for gaming and this is perfect for me my friends can hear me clearly and can hear in game audio great would recommend this headset to anyone getting in to gaming ,35,5,Positive,"The feedback expresses satisfaction with the headset's performance in gaming, highlighting clear communication and audio quality.",5,Product quality: Functionality Gaps,5
positive,perfect no complaints super cute color changes never charge it and it only died once and use it for work about hours day and seems like charge it like times week ,31,5,Positive,"The feedback is positive, highlighting satisfaction with the product's color, battery life, and performance.",5,Product quality: Battery Issues,5
positive,found these to be decent quality with good sound cord set is of decent strength and they are still working well,21,5,Positive,"The feedback highlights the decent quality and good performance of the product, indicating satisfaction.",4,Product quality: Performance Issues,4
positive,ear pads are very small must be made for little kids ears mic is short but overall sound is good wish it had clip for the controls ,27,4,Neutral,"The feedback mentions both positive and negative aspects, with issues regarding the size of ear pads and mic length, but acknowledges good sound quality.",3,Product quality: Build/Design Flaws,3
neutral,very nice product ,3,5,Positive,The feedback expresses satisfaction with the product.,5,Other,5
positive,very good mouse excellent,4,3,Positive,"The feedback expresses satisfaction with the mouse, using words like ""very good"" and ""excellent.""",5,Product quality: Performance Issues,5
neutral,adorable little mouse however the darn thing will be on and won do anything know to click to wake it if it in sleep mode but half the time it won be asleep and have to click like times for it to start actually working unfortunately ll have to find another mouse because this has become an irritating inconvenience ,59,5,Negative,"The feedback describes frustration with the mouse's performance, specifically its responsiveness and functionality.",2,Product quality: Functionality Gaps,2
positive,does exactly what it supposed to great product ,8,5,Positive,The feedback expresses satisfaction with the product's performance.,5,Product quality: Functionality Gaps,5
positive,the scrolling wheel doesn work my daughter was so excited to use this but it won scroll other than that cute mouse ,22,4,Negative,"The feedback indicates a malfunctioning scrolling wheel, which is a performance issue, despite the product being visually appealing.",2,Product quality: Performance Issues,2
neutral,,0,5,Neutral,The feedback is not provided or is unreadable.,3,Other,3
positive,so cute and ergonomic holds the charge really well probably due to its auto sleep mode and works like charm ,20,5,Positive,"The feedback praises the product's design, battery performance, and functionality.",5,Product quality: Battery Issues,5
neutral,took days to ship so much for prime next day shipping and won light up without being plugged into usb waste of time and money ,25,2,Negative,The feedback expresses dissatisfaction with delayed shipping and a product that does not function as expected.,1,Shipment delays,1
positive,cutest stylish clean looked mouse have white monitor and white keyboard it goes very well with those also it has lights and it super comfortable ergonomic happy with this purchase,30,3,Positive,"The feedback expresses satisfaction with the mouse's style, comfort, and compatibility with other devices.",5,Product quality: Build/Design Flaws,5
positive,noise cancellation is okay its not bad but its not amazing but overall the sound quality is really good and the headphones feel very high quality its really good for the price ,32,5,Positive,"The feedback highlights good sound quality and high-quality feel, with a positive note on value for the price, despite the noise cancellation being just okay.",4,Product quality: Performance Issues,4
neutral,i removed the mouse from it box threw the box away and charged the mouse started using it and on the second day it just stopped working because couldn return it in it original box just threw it away ,39,5,Negative,"The user is frustrated because the mouse stopped working after two days, and they cannot return it due to discarding the original packaging.",1,Product quality: Performance Issues,1
positive,i like this mouse because of the leds and the color but the usb converter that it comes with is not reliable had to use different one in order for the mouse to be usable have also noticed sometimes lag in clicks so wouldn suggest this for gaming or something where you need to be super responsive and precise,59,5,Negative,"The feedback highlights issues with the USB converter's reliability and lag in clicks, which are significant drawbacks for gaming.",2,Product quality: Performance Issues,2
positive,my grandson is and blocks us all out now lol he loves playing with his cousins and uncle in indiana there great gaming headset for him thank you ,28,1,Positive,"The feedback expresses satisfaction with the gaming headset, indicating it is great for the grandson.",5,Product quality: Functionality Gaps,5
neutral,th mouse sucks only worked day after that it never worked again never buying it again ,16,5,Negative,The customer is dissatisfied because the mouse stopped working after one day.,1,Product quality: Durability,1
positive,this thing was worth every penny cannot believe the sound that comes from this tiny speaker very impressed ,18,5,Positive,The feedback expresses satisfaction and amazement with the product's performance and value.,5,Product quality: Performance Issues,5
positive,very nice headphones kids use them for gaming as well as headphones for their ipads great sound quality ,18,5,Positive,The feedback praises the headphones for their versatility and sound quality.,5,Product quality: Performance Issues,5
positive,the headset itself is great but the chord is extremely long and to get the lights to work it has seperate usb so wouldn recommend for console ,27,5,Negative,"The feedback highlights a design flaw with the headset's cord length and the inconvenience of a separate USB for lights, which detracts from the overall experience.",2,Product quality: Build/Design Flaws,2
neutral,good for gaming tv or music,6,5,Positive,"The feedback suggests satisfaction with the product's performance for gaming, TV, or music.",4,Product quality: Performance Issues,4
negative,although just yesterday ordered the jbl charge and so haven received it yet did some research into how the device charges on one end of the charging cable is the new and better type of usb connector usb and on the other the standard well familiar usb connector the charging port on the speaker only accepts the new type of usb connector known as usb not the standard usb that we are well familiar with however the unit comes supplied with sided cable that will plug into standard usb port such as on most or all home and office computers and also some ac wall chargers the speaker does not come with this necessary usb accepting ac wall charger so if you do not have one already you have to buy one someplace otherwise simply plug it into usb port on computer the new type of usb connector usb is better because it is the same all around that is you no longer need to worry if the jack is orientated properly before inserting it ll work no matter which way you plug it in much convenient design over the old think but am not sure that it might also work faster than the old and familiar usb connector however at least as of now there is still standard usb connector on the other end of the cable so perhaps the faster charging speeds assuming even correct on this might only be the case when these cables have the new type of usb usb connectors on both ends in any case as is it still better than the standard usb because of not having to fumble around when attempting to plug it in not only is it annoying fumbling around with the old standard usb connectors the fumbling can actually damage the insides of usb port due to repeated attempts at trying to insert an improperly orientated connector like trying to force square peg into round hole after while the inners of the port will get bent out of shape however this is much more of problem with the standard mini usb connectors commonly used with mobile phones and many other small devices ,363,5,Neutral,"The feedback provides a detailed analysis of the USB charging design of the JBL Charge, highlighting both positive aspects and potential inconveniences without expressing a clear positive or negative sentiment.",3,Product quality: Build/Design Flaws,3
neutral,i bought this on october and it stopped working on april it started acting up on the th where the responsiveness was sketchy charged it that night and the next day it didn power up ,35,5,Negative,"The feedback describes a product that stopped working after a few months, indicating dissatisfaction with its durability and performance.",1,Product quality: Durability,1
neutral,excelente,1,5,Positive,"The feedback uses the word ""excelente,"" indicating a high level of satisfaction.",5,Other,5
positive,this barely ever needs to be charged for me have online schooling so use the mouse lot and only have to charge it every once and while its very pretty and good for the price makes no sound when clicked which is great ,43,3,Positive,"The feedback highlights satisfaction with the battery life, design, and price of the product.",5,Product quality: Battery Issues,5
positive,i love this speaker ,4,5,Positive,The feedback expresses a strong liking for the speaker.,5,Product quality: Performance Issues,5
positive,i ordered one as gift and the first one received did not work however the second one ordered that was then gifted also worked perfect,25,5,Neutral,"The feedback mentions an initial issue with a non-working product, but it was resolved with a subsequent order that worked perfectly.",3,Product quality: Functionality Gaps,3
positive,cute little plug and play usb keyboard ,7,5,Positive,"The feedback describes the keyboard as ""cute"" and ""plug and play,"" indicating satisfaction with its design and ease of use.",5,Product quality: Build/Design Flaws,5
neutral,had this mouse for about month and the center wheel broke as was scrolling used daily for work ,18,3,Negative,"The feedback indicates a problem with the mouse's durability, as the center wheel broke after only a month of use.",2,Product quality: Durability,2
negative,i picked this up because was looking for quiet wireless keyboard the reviews and product information said this was the one for me but it disappointing the keys are quiet but the space bar is so loud and rickety that it more than makes up for the quiet keys and since using this to type all day and not game the space bar gets hit lot ll deal with it and the other features of the keyboard are fine but this is disappointment to me ,85,1,Negative,"The user is disappointed because the space bar is loud and rickety, which contradicts the expectation of a quiet keyboard.",2,Product quality: Build/Design Flaws,2
positive,very easy to set up and use love it,9,4,Positive,"The feedback expresses satisfaction with the ease of setup and use, indicating a positive experience.",5,Product quality: Functionality Gaps,5
positive,better than the headsets ve bought definitely buying these from now on use on xbox series x,17,5,Positive,"The feedback expresses satisfaction with the headset, indicating it is better than previous purchases and a preference for future use.",5,Product quality: Performance Issues,5
positive,excellent bluetooth speaker well built and also great sound quality links to harman kardon speakers and also other jbl speakers definitely recommend purchasing if you re looking for great sounding long lasting battery bluetooth speaker ,35,2,Positive,"The feedback praises the speaker's build, sound quality, and battery life, and recommends it to others.",5,Product quality: Battery Issues,5
neutral,ergonomic and nice,3,4,Positive,The feedback uses positive adjectives to describe the product.,5,Product quality: Build/Design Flaws,5
neutral,smashing sparking clear undistorted sound from hertz all the way to hertz and loud without distortion ,16,5,Positive,"The feedback praises the sound quality as clear and undistorted, indicating satisfaction.",5,Product quality: Performance Issues,5
neutral,i purchased this in july and it worked perfectly it now ass backwards you have to hold the button down just in order to move the cursor if let go of the button it does nothing its completely off track the led only works when it charging before it worked whenever it was on the last switch on the bottom of the mouse ,63,5,Negative,"The feedback describes a deterioration in the product's functionality, indicating performance issues with the mouse.",2,Product quality: Performance Issues,2
positive,works fantastic,2,5,Positive,The feedback expresses satisfaction with the product's performance.,5,Product quality: Performance Issues,5
neutral,so many uses ,3,5,Positive,"The feedback suggests that the product is versatile and can be used in many ways, which is a positive attribute.",5,Product quality: Functionality Gaps,5
